amfi_code,scheme_name,return_3yr_pct,expense_ratio_pct,Sharpe,Alpha,Beta,Max_Drawdown,ReturnRank,SharpeRank,AlphaRank,ExpenseRank,DrawdownRank,FundScore
119598,SBI Small Cap Fund - Regular Plan - Growth,23.39,1.43,0.9453082575156095,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,40.0,27.0,40.0,20.0,36.0,33.35
120505,ICICI Pru Midcap Fund - Regular - Growth,18.08,1.36,1.1801011976606492,0.2926358334175106,0.000549004250631731,-0.18188513572116294,33.0,36.0,38.0,26.0,25.0,32.9
149324,DSP Small Cap Fund - Regular - Growth,20.08,1.52,0.9497958246616031,0.3005787817097677,0.011455159960520695,-0.31171900300634214,35.0,28.0,39.0,14.5,37.0,31.175
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,16.58,1.38,1.093698743534631,0.2719535450128533,0.005103525830528313,-0.16217208574644848,31.0,34.0,35.0,24.0,20.0,30.4
120843,Kotak Flexicap Fund - Regular - Growth,15.65,1.45,1.3067439695428409,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,30.0,39.0,36.0,19.0,13.0,30.1
119094,Axis Midcap Fund - Regular - Growth,15.18,1.38,0.9982309868636413,0.2607666908004223,-0.0662654286280376,-0.20960883862039192,26.0,30.0,32.0,24.0,28.0,28.100000000000005
149323,DSP Midcap Fund - Regular - Growth,17.16,1.61,1.1321218524747243,0.26598577542043045,-0.002523004664699212,-0.17248105753451382,32.0,35.0,33.0,3.0,22.0,27.6
148567,Mirae Asset Large Cap Fund - Regular - Growth,14.81,1.46,1.4482911703262598,0.2698375144191807,0.023683558075848616,-0.11265729075028275,24.0,40.0,34.0,18.0,8.0,27.5
120504,ICICI Pru Bluechip Fund - Direct - Growth,14.41,0.8,1.0265242847993001,0.2119482701352573,0.016232169761417024,-0.12588275606922517,21.0,31.0,28.0,29.0,12.0,25.2
148569,Mirae Asset Tax Saver Fund - Regular - Growth,13.58,1.6,1.2349300257743294,0.2827036785246582,0.01813388408385925,-0.1639674294693263,18.0,38.0,37.0,4.5,21.0,25.075
118632,Nippon India Large Cap Fund - Regular - Growth,14.0,1.51,1.0816591793457042,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,20.0,33.0,30.0,16.5,23.0,25.025000000000002
119599,SBI Small Cap Fund - Direct Plan - Growth,23.14,0.72,-0.05718662582817995,0.048824215945539845,0.06200180438267164,-0.5257422117012851,39.0,9.0,5.0,35.5,40.0,24.275
118634,Nippon India Small Cap Fund - Regular - Growth,20.15,1.53,0.44843400890899127,0.1750072167561127,0.10349663691337589,-0.2334488614483311,36.0,15.0,23.0,12.5,32.0,24.224999999999998
119551,SBI Bluechip Fund - Regular Plan - Growth,12.36,1.54,1.2082665673727175,0.23201007160635082,-0.03175144113890976,-0.1501238549864533,15.0,37.0,31.0,10.5,17.0,23.224999999999998
101207,ABSL Small Cap Fund - Regular - Growth,22.38,1.53,0.16266076928646772,0.10897091901704538,-0.06528924788351526,-0.3544691649336603,38.0,13.0,14.0,12.5,38.0,23.125
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,14.56,1.52,0.9262873467360144,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,22.0,26.0,27.0,14.5,19.0,22.575
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.76,1.41,0.6488787755249532,0.1625385327998104,0.04189646272811975,-0.1982565826298267,23.0,21.0,21.0,22.0,27.0,22.349999999999998
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,15.29,0.78,0.30061192104254786,0.11989100971217971,0.009054412621739139,-0.21117279560132118,27.0,14.0,15.0,31.0,29.0,22.15
